sample,qw,qx,qy,qz
115,0.82425308,-0.54666901,-0.11969046,-0.07876867
116,0.82704568,-0.54846030,-0.09872727,-0.06486413
117,0.82445365,-0.55796838,-0.07299952,-0.04880068
118,0.81817442,-0.57093620,-0.04796474,-0.03286991
119,0.80647707,-0.58932483,-0.02638189,-0.01867777
120,0.78775942,-0.61454368,-0.01828936,-0.01365972
121,0.77086312,-0.63535994,-0.02259523,-0.01800963
122,0.75733203,-0.65042764,-0.03536537,-0.02975771
123,0.74828029,-0.65843785,-0.05484003,-0.04764345
124,0.74972081,-0.65308976,-0.07619025,-0.06576920
125,0.75447977,-0.64293784,-0.09694952,-0.08202130
126,0.76596904,-0.62516975,-0.11305344,-0.09168535
127,0.79628742,-0.58005720,-0.13596959,-0.09847030
128,0.81488353,-0.54008025,-0.17310360,-0.11414739
129,0.78613466,-0.56276524,-0.20598693,-0.14685693
130,0.76913816,-0.55853242,-0.24991451,-0.18087633
131,0.76517344,-0.53265780,-0.29562044,-0.20517319
132,0.75183928,-0.51347733,-0.34055239,-0.23195532
133,0.70769161,-0.53988707,-0.36150032,-0.27515879
134,0.66317976,-0.55629820,-0.38293347,-0.32060671
135,0.64975619,-0.55447847,-0.39487773,-0.33636889
136,0.64113140,-0.54543650,-0.41057432,-0.34868437
137,0.62545824,-0.54151511,-0.42411685,-0.36659449
138,0.54084647,-0.59102976,-0.40352529,-0.44050354
139,-0.39600772,0.68641996,0.30425316,0.52739763
140,-0.31242502,0.73390603,0.23564036,0.55404091
141,-0.17714141,0.79355913,0.12615228,0.56718051
142,-0.08873180,0.83261454,0.05726221,0.54252565
143,-0.04183565,0.86437702,0.02358890,0.49929065
144,-0.01354361,0.89228690,0.00625479,0.44984481
145,-0.01074754,0.90619242,0.00443119,0.42124012
146,0.02785356,0.92620969,-0.01182109,0.37416360
147,0.06998500,0.94067132,-0.02506906,0.32925063
148,0.06564335,0.95922792,-0.01916540,0.27206677
149,0.07176752,0.97360611,-0.01625460,0.21333815
150,0.07273819,0.98042697,-0.01381934,0.17923665
151,0.07053044,0.98602879,-0.01100442,0.14663936
152,0.07135718,0.98945200,-0.00924480,0.12109313
153,0.07151774,0.99064219,-0.00851688,0.11089306
154,0.06989491,0.99069309,-0.00837633,0.11148237
155,0.06826318,0.98958874,-0.00891244,0.12178814
156,0.07076264,0.98750234,-0.01028132,0.13632728
157,0.09584201,0.97990471,-0.01722112,0.17081043
158,0.11085307,0.97044671,-0.02453992,0.21030389
159,0.11768049,0.95947468,-0.03141981,0.25193584
160,0.12538156,0.95467943,-0.03539836,0.26554629
161,0.13995469,0.95147681,-0.04010564,0.26906982
162,0.16271304,0.94899940,-0.04580885,0.26406819
163,0.18115024,0.94322807,-0.05265632,0.27136952
164,0.19375904,0.93699002,-0.05901018,0.28272909
165,0.19694957,0.93350577,-0.06200132,0.29128227
166,0.18804829,0.93934578,-0.05644828,0.27927524
167,0.17883211,0.94640696,-0.05007437,0.26218811
168,0.17507118,0.95059514,-0.04655880,0.24993917
169,0.18070903,0.94798326,-0.04919356,0.25528598
170,0.20122936,0.93407440,-0.06225243,0.28647521
171,0.22285013,0.91806626,-0.07747257,0.31691489
172,0.24266794,0.90021396,-0.09424719,0.34756812
173,0.25459546,0.88180256,-0.11028329,0.38002110
174,0.21673103,0.90623999,-0.08460373,0.35155886
175,0.18557508,0.92739719,-0.06390861,0.31690589
176,0.16116364,0.94543815,-0.04774916,0.27736917
177,0.16054955,0.93385243,-0.05435225,0.31343973
178,0.16134745,0.92790544,-0.05778927,0.32966226
179,0.16595632,0.92059463,-0.06293416,0.34650448
180,0.17176205,0.91219753,-0.06906331,0.36426634
