sample,float_qw,float_qx,float_qy,float_qz,vp_qw,vp_qx,vp_qy,vp_qz,q_l2_error,float_roll,float_pitch,float_yaw,vp_roll,vp_pitch,vp_yaw,err_roll,err_pitch,err_yaw
29,0.80609345,0.42432284,-0.36615947,0.19225809,0.80595511,0.42450079,-0.36610326,0.19258793,0.000403,55.6177,-48.8924,-0.0682,55.6310,-48.9061,-0.0338,0.0133,0.0136,0.0345
30,0.83522725,0.39024910,-0.35136017,0.16415553,0.83543921,0.39030972,-0.35165566,0.16402942,0.000390,50.1070,-45.6476,-0.0018,50.1527,-45.6939,-0.0357,0.0457,0.0463,0.0340
31,0.85748130,0.36119628,-0.33810535,0.14239530,0.85768628,0.36123627,-0.33838397,0.14224464,0.000379,45.7042,-43.0553,-0.0033,45.7417,-43.0960,-0.0369,0.0375,0.0407,0.0336
32,0.87534267,0.33500773,-0.32608190,0.12476186,0.87554294,0.33503264,-0.32634252,0.12459300,0.000370,41.9047,-40.8787,-0.0046,41.9362,-40.9150,-0.0377,0.0315,0.0364,0.0331
33,0.89351630,0.31034014,-0.30712414,0.10662675,0.89370513,0.31035608,-0.30736154,0.10644838,0.000352,38.3257,-37.9535,-0.0058,38.3514,-37.9850,-0.0375,0.0257,0.0315,0.0317
34,0.91154146,0.28480789,-0.28378436,0.08861181,0.91171324,0.28481811,-0.28399643,0.08843020,0.000328,34.7209,-34.5995,-0.0071,34.7413,-34.6262,-0.0368,0.0204,0.0266,0.0297
35,0.92521042,0.26163426,-0.26493835,0.07491610,0.92545557,0.26163325,-0.26515886,0.07467148,0.000411,31.5898,-31.9682,-0.0005,31.6109,-31.9959,-0.0364,0.0211,0.0277,0.0359
36,0.93831486,0.23294836,-0.24857825,0.06170318,0.93855131,0.23292422,-0.24876696,0.06144518,0.000398,27.8945,-29.6854,-0.0012,27.9095,-29.7083,-0.0362,0.0150,0.0230,0.0350
37,0.94878292,0.19971652,-0.24019223,0.05054364,0.94900858,0.19966322,-0.24035567,0.05027345,0.000392,23.7831,-28.4225,-0.0020,23.7923,-28.4424,-0.0365,0.0091,0.0199,0.0345
38,0.95910037,0.16388153,-0.22826073,0.03897870,0.95930994,0.16379799,-0.22839223,0.03870049,0.000382,19.4012,-26.7838,-0.0030,19.4041,-26.7999,-0.0365,0.0029,0.0161,0.0335
39,0.96935320,0.14124262,-0.19985646,0.02909255,0.96954584,0.14114937,-0.19994399,0.02881837,0.000359,16.5878,-23.3085,-0.0034,16.5868,-23.3187,-0.0351,0.0010,0.0102,0.0317
40,0.97642291,0.12958166,-0.17191787,0.02281432,0.97666979,0.12949519,-0.17198689,0.02251795,0.000401,15.1235,-19.9769,-0.0001,15.1232,-19.9854,-0.0340,0.0003,0.0085,0.0339
41,0.98259681,0.12001052,-0.14175691,0.01731203,0.98282808,0.11992854,-0.14178854,0.01702151,0.000382,13.9310,-16.4235,-0.0002,13.9293,-16.4268,-0.0329,0.0017,0.0033,0.0327
42,0.98772395,0.11337667,-0.10823268,0.01242199,0.98793566,0.11330052,-0.10822441,0.01213855,0.000362,13.1005,-12.5109,-0.0002,13.0976,-12.5087,-0.0317,0.0028,0.0021,0.0315
43,0.97854477,0.19125153,-0.07818849,0.01529523,0.97865045,0.19116122,-0.07814091,0.01503402,0.000300,22.1278,-9.1414,0.0016,22.1209,-9.1310,-0.0261,0.0069,0.0104,0.0276
44,0.96247858,0.21630825,-0.16174062,0.03638365,0.96247464,0.21615292,-0.16169395,0.03612682,0.000304,25.3484,-19.0919,0.0040,25.3324,-19.0789,-0.0218,0.0160,0.0129,0.0257
45,0.94146937,0.22206245,-0.24768309,0.05842371,0.94152635,0.22189841,-0.24764290,0.05821311,0.000276,26.5561,-29.4932,0.0004,26.5403,-29.4826,-0.0187,0.0157,0.0105,0.0191
46,0.91732121,0.20747834,-0.33230114,0.07516444,0.91726589,0.20726801,-0.33221647,0.07495150,0.000316,25.5083,-39.8548,0.0007,25.4819,-39.8315,-0.0160,0.0264,0.0233,0.0167
47,0.89570254,0.23003849,-0.36937696,0.09488148,0.89563167,0.22979975,-0.36928308,0.09464529,0.000356,28.8314,-44.8584,0.0024,28.7985,-44.8281,-0.0152,0.0329,0.0303,0.0175
48,0.88079238,0.28033656,-0.36445540,0.11603428,0.88071257,0.28006786,-0.36437643,0.11578020,0.000386,35.3397,-44.9975,0.0052,35.2994,-44.9650,-0.0131,0.0403,0.0326,0.0183
49,0.86238164,0.32569367,-0.36341545,0.13730896,0.86229908,0.32539511,-0.36335599,0.13703406,0.000418,41.4145,-45.7455,0.0083,41.3670,-45.7107,-0.0115,0.0475,0.0348,0.0198
50,0.84606707,0.35471040,-0.36729670,0.15399708,0.84617507,0.35448343,-0.36730459,0.15380034,0.000319,45.5070,-46.9505,0.0013,45.4787,-46.9407,-0.0103,0.0283,0.0098,0.0116
51,0.83226329,0.36877552,-0.37875354,0.16784197,0.83238065,0.36852795,-0.37876400,0.16762686,0.000348,47.8134,-48.9588,0.0024,47.7811,-48.9470,-0.0097,0.0323,0.0118,0.0121
52,0.84040570,0.36565527,-0.36712781,0.15975112,0.84050632,0.36541730,-0.36713877,0.15955091,0.000327,47.0439,-47.2144,0.0023,47.0129,-47.2034,-0.0093,0.0310,0.0110,0.0116
53,0.84765422,0.37067389,-0.34813929,0.15225740,0.84773594,0.37043953,-0.34815708,0.15207374,0.000309,47.2556,-44.6746,0.0025,47.2248,-44.6649,-0.0085,0.0308,0.0097,0.0110
54,0.85214549,0.37602082,-0.33334774,0.14711523,0.85221547,0.37578729,-0.33337399,0.14694299,0.000300,47.6369,-42.7467,0.0028,47.6061,-42.7384,-0.0079,0.0307,0.0083,0.0107
55,0.85218519,0.37137562,-0.33820635,0.14738862,0.85227031,0.37117183,-0.33823362,0.14724566,0.000264,47.1085,-43.3066,0.0001,47.0827,-43.3017,-0.0078,0.0258,0.0049,0.0079
56,0.79173237,0.44886169,-0.36086947,0.20463452,0.79173487,0.44857705,-0.36089998,0.20445424,0.000338,59.1295,-49.0367,0.0062,59.0797,-49.0167,-0.0031,0.0498,0.0199,0.0093
57,0.71771920,0.54191613,-0.34941882,0.26397666,0.71768433,0.54151970,-0.34950873,0.26371619,0.000484,74.1510,-51.9688,0.0196,74.0734,-51.9329,-0.0002,0.0775,0.0359,0.0198
58,0.63210088,0.63374054,-0.31528342,0.31641853,0.63208002,0.63321763,-0.31549811,0.31605828,0.000671,90.1963,-53.0954,0.0382,90.0960,-53.0449,-0.0009,0.1003,0.0504,0.0392
59,0.54547769,0.71817124,-0.26164424,0.34502417,0.54549032,0.71754581,-0.26201007,0.34460098,0.000839,105.6097,-51.3536,0.0546,105.5021,-51.2955,-0.0051,0.1076,0.0581,0.0597
60,0.49903440,0.75535423,-0.23430727,0.35468796,0.49907127,0.75499845,-0.23445570,0.35460305,0.000396,113.1207,-50.3256,0.0030,113.0564,-50.3063,-0.0074,0.0644,0.0193,0.0104
61,0.50638139,0.75221920,-0.23561968,0.35003960,0.50643945,0.75184417,-0.23577917,0.34994900,0.000422,112.1279,-49.9283,0.0028,112.0593,-49.9097,-0.0073,0.0685,0.0187,0.0102
62,0.54437101,0.73117816,-0.24575618,0.33010206,0.54438710,0.73079783,-0.24588674,0.33001429,0.000412,106.6902,-48.6157,0.0011,106.6193,-48.5958,-0.0066,0.0709,0.0199,0.0077
63,0.58617663,0.70351225,-0.25751328,0.30904889,0.58612835,0.70313966,-0.25760207,0.30897158,0.000394,100.4271,-47.4541,-0.0011,100.3553,-47.4321,-0.0056,0.0718,0.0220,0.0045
64,0.66400182,0.63676482,-0.28337830,0.27168161,0.66384721,0.63634849,-0.28337017,0.27160183,0.000451,87.6442,-46.2465,-0.0080,87.5533,-46.2112,-0.0033,0.0909,0.0353,0.0047
65,0.69062114,0.61117089,-0.28982842,0.25647661,0.69052726,0.61081928,-0.28986940,0.25639045,0.000376,83.0372,-45.5470,-0.0011,82.9656,-45.5238,-0.0022,0.0716,0.0232,0.0011
66,0.69796449,0.60100764,-0.29535100,0.25431097,0.69787449,0.60065210,-0.29538125,0.25421467,0.000380,81.4852,-45.8875,-0.0013,81.4117,-45.8622,-0.0019,0.0735,0.0253,0.0005
67,0.70489794,0.59390408,-0.29685208,0.25009620,0.70481247,0.59354335,-0.29687575,0.24999335,0.000385,80.2535,-45.6897,-0.0015,80.1788,-45.6635,-0.0017,0.0748,0.0262,0.0001
68,0.72031933,0.57187724,-0.30773237,0.24429466,0.72021860,0.57152539,-0.30772725,0.24418908,0.000381,76.9175,-46.2815,-0.0025,76.8416,-46.2515,-0.0007,0.0759,0.0300,0.0018
69,0.73896313,0.54434967,-0.31996182,0.23566546,0.73883766,0.54401517,-0.31991878,0.23556496,0.000374,72.7791,-46.8402,-0.0039,72.7029,-46.8058,0.0006,0.0762,0.0344,0.0045
70,0.75642258,0.51708692,-0.33094758,0.22622600,0.75629765,0.51677519,-0.33089793,0.22611679,0.000357,68.7334,-47.2759,-0.0010,68.6620,-47.2411,0.0020,0.0714,0.0348,0.0030
71,0.77423537,0.48665360,-0.34287381,0.21549878,0.77407992,0.48636803,-0.34278673,0.21540642,0.000349,64.3258,-47.7891,-0.0024,64.2557,-47.7503,0.0036,0.0701,0.0387,0.0060
72,0.78852278,0.45564485,-0.35796130,0.20681781,0.78834003,0.45538998,-0.35783309,0.20674445,0.000347,60.0663,-48.8502,-0.0039,59.9973,-48.8063,0.0055,0.0690,0.0440,0.0094
73,0.80286998,0.41935456,-0.37591997,0.19630763,0.80265397,0.41914248,-0.37574241,0.19626579,0.000353,55.1836,-50.1992,-0.0061,55.1164,-50.1486,0.0079,0.0672,0.0506,0.0140
74,0.81643605,0.38597009,-0.38864848,0.18367782,0.81619251,0.38580245,-0.38843066,0.18367386,0.000367,50.6317,-50.9323,-0.0083,50.5679,-50.8769,0.0101,0.0638,0.0554,0.0184
75,0.82172483,0.37221530,-0.39335296,0.17817265,0.82152468,0.37204498,-0.39316350,0.17812604,0.000327,48.7553,-51.1776,-0.0006,48.6979,-51.1261,0.0110,0.0574,0.0515,0.0116
76,0.82698494,0.35970944,-0.39650151,0.17245699,0.82678276,0.35954741,-0.39629945,0.17241903,0.000331,47.0320,-51.2487,-0.0011,46.9753,-51.1959,0.0118,0.0566,0.0528,0.0129
77,0.83511144,0.34119418,-0.39970693,0.16329235,0.83490002,0.34105122,-0.39948848,0.16327345,0.000336,44.4632,-51.1717,-0.0019,44.4091,-51.1175,0.0130,0.0541,0.0542,0.0149
78,0.84530461,0.31576097,-0.40403613,0.15090677,0.84507704,0.31565031,-0.40379673,0.15091912,0.000349,40.9832,-51.1114,-0.0030,40.9332,-51.0554,0.0145,0.0500,0.0560,0.0176
79,0.85789835,0.28540996,-0.40572807,0.13495089,0.85764730,0.28534204,-0.40547028,0.13500668,0.000370,36.8200,-50.6403,-0.0045,36.7762,-50.5832,0.0163,0.0438,0.0571,0.0208
80,0.86611319,0.25884312,-0.40998772,0.12252054,0.86586618,0.25880027,-0.40973100,0.12258004,0.000364,33.2912,-50.6800,-0.0011,33.2540,-50.6233,0.0180,0.0373,0.0566,0.0190
81,0.82137984,0.29052034,-0.46312386,0.16381297,0.82106149,0.29046166,-0.46279612,0.16384473,0.000462,38.9833,-58.8685,0.0013,38.9188,-58.7762,0.0226,0.0645,0.0923,0.0213
