time,gx,gy,gz,ax,ay,az
0.0624423828125,-7.765838855166226,-10.63478041508098,3.6084440069179196,0.00164794921875,-0.10791015625,-1.0054168701171875
0.072469482421875,-7.084304650535783,-9.528960835624869,3.7540128404906397,-0.0066070556640625,-0.1047210693359375,-1.0089263916015625
0.082496337890625,-6.65463239088909,-5.948562439212668,3.419921821202282,-0.0158843994140625,-0.0952911376953125,-1.0097198486328125
0.0925244140625,-5.941833422219736,-1.573135359496272,3.3919524099944915,-0.0236968994140625,-0.0866851806640625,-1.0084075927734375
0.102551513671875,-5.656311024345693,0.7404632625203154,2.8359222910327975,-0.0220794677734375,-0.090789794921875,-1.0063934326171875
0.112578369140625,-5.888855059922532,0.7492370673960198,2.984268236833362,-0.027557373046875,-0.1053924560546875,-0.9977264404296875
0.12260546875,-5.522628854362911,1.3056183007697348,4.697875828121055,-0.0252685546875,-0.115570068359375,-0.9886474609375
0.132632568359375,-4.068176355988662,3.332305862076651,7.393096649138413,-0.010345458984375,-0.1060791015625,-0.99383544921875
0.142659423828125,-1.113372808182794,6.349944909090814,10.06721474694137,-0.0051727294921875,-0.0990753173828125,-1.004730224609375
0.152687255859375,1.0164795311735815,5.887878342871221,12.100311053402168,-0.0087432861328125,-0.10052490234375,-1.0084228515625
0.162714599609375,0.6569976571716719,1.9138640419974127,11.076323970391979,-0.0170440673828125,-0.102996826171875,-0.9910125732421875
0.172741455078125,-3.5356598035749713,0.130996705019777,6.333129837127889,-0.0296173095703125,-0.0919952392578125,-0.9708404541015625
0.182768310546875,-10.805908243414711,2.004898083915812,-0.6381377973259742,-0.050079345703125,-0.0678558349609375,-0.949951171875
0.192795166015625,-17.159149572553705,3.510253847740051,-5.861785739581302,-0.0589752197265625,-0.0525970458984375,-0.94146728515625
0.202822509765625,-18.301041088563945,6.157730152355139,-5.491760241295862,-0.0438690185546875,-0.0494384765625,-0.9595947265625
0.212850341796875,-17.05340629137086,6.777343569517539,-1.2073364676465999,-0.0067596435546875,-0.0569610595703125,-0.9784698486328125
0.222877685546875,-15.405959540921906,3.5201872906707767,2.0109558213793783,0.018829345703125,-0.0698394775390625,-0.9860687255859375
0.232904296875,-14.278747808985313,-2.1544952349949584,3.274795455821732,0.0087432861328125,-0.075225830078125,-0.9937286376953125
0.242931396484375,-13.918792570857411,-7.746169617903882,3.9256439683888353,-0.009796142578125,-0.072357177734375,-0.99871826171875
0.252958251953125,-13.252425655052626,-12.60087598087854,4.354324143058584,-0.0124359130859375,-0.053192138671875,-1.00067138671875
0.262986328125,-12.603896632038976,-15.77955552059597,4.339813406166892,-0.013275146484375,-0.0375823974609375,-0.99591064453125
0.273013427734375,-10.802826120551744,-14.998108455012934,4.122939958980178,-0.013580322265625,-0.0316009521484375,-1.00006103515625
0.283040283203125,-8.143188023789213,-12.588912904547263,3.1160125540825647,-0.0244140625,-0.0278778076171875,-1.0078887939453125
0.2930673828125,-5.105194159274766,-7.614074613129482,1.6017303733433537,-0.0399169921875,-0.0291900634765625,-1.0057373046875
0.303094482421875,-2.0877531877465327,-0.17051696663005092,0.389022815688185,-0.036407470703125,-0.033233642578125,-1.0018157958984375
0.313121337890625,0.9671478495629298,8.187713173214881,-0.13992309525432253,-0.0258331298828125,-0.03662109375,-1.0018463134765625
0.3231494140625,3.341598547885865,14.93090793131647,-0.3430023084015349,-0.020355224609375,-0.0441131591796875,-1.0014801025390625
0.333176513671875,4.854904011573764,15.871414734743473,0.15216064647265654,-0.019134521484375,-0.0497589111328125,-1.0045318603515625
0.343203125,4.800308175103736,11.231720165519878,0.6666870275612755,-0.0186920166015625,-0.051513671875,-0.996734619140625
0.35323046875,4.640701168352525,5.3016508903718425,1.086654602253585,-0.005828857421875,-0.0507659912109375,-0.987548828125
0.363257568359375,5.313125608177464,1.7792205228889513,1.4859771297667377,0.006683349609375,-0.0492706298828125,-0.9952850341796875
0.3732841796875,6.088653461071038,1.2678833198744126,1.9159088298801852,0.0009918212890625,-0.051422119140625,-1.0094146728515625
0.3833125,1.7058562870750806,6.885650732960078,-1.1083526191428346,-0.00933837890625,-0.0514068603515625,-1.01507568359375
0.393339599609375,-4.460662931359689,4.309646595037061,-6.351837298377731,-0.0207977294921875,-0.05072021484375,-1.0012054443359375
0.4033662109375,-7.75549282612095,-5.821868833411279,-9.544662586753082,-0.031829833984375,-0.042755126953125,-0.9697723388671875
0.4133935546875,-10.142882997661356,-6.355774048660598,-9.841644334507114,0.006134033203125,-0.0449676513671875,-0.993927001953125
0.423420654296875,-10.209899960023876,-5.252288686353337,-8.869354099551105,0.0086669921875,-0.0501708984375,-1.021881103515625
0.4334482421875,-7.638107487497818,-7.678496957381042,-8.527114664582923,-0.0088043212890625,-0.064483642578125,-1.035675048828125
0.4434755859375,-1.2078399806544768,-16.911147111337833,-6.617767298617593,-0.006317138671875,-0.07354736328125,-1.043701171875
0.45350244140625,8.272353731183324,-23.11904969890177,-2.7067717381209073,0.012939453125,-0.0681304931640625,-1.0374755859375
0.463529296875,17.770950107079255,-21.708053852234904,0.9507598778665419,0.0144195556640625,-0.06866455078125,-1.0354766845703125
0.473556396484375,24.502731619077757,-14.17533874495132,3.4400939311422682,-0.0039215087890625,-0.0735626220703125,-1.0212554931640625
0.483583251953125,28.350265971005147,-6.836761519541596,4.166961808841379,-0.0161895751953125,-0.0831298828125,-0.9910125732421875
0.493611328125,30.81271479888212,-0.03442382658164031,4.2031554081401,-0.0207672119140625,-0.08209228515625,-0.9686126708984375
0.503638427734375,33.20413136693825,6.242416387213657,3.7408903395477524,-0.021331787109375,-0.0720062255859375,-0.9775543212890625
0.51366552734375,34.52371025420637,9.437500333770167,2.910034112395667,-0.0265350341796875,-0.0642547607421875,-0.990753173828125
0.5236923828125,33.73113851801268,9.068390080833508,2.2287445139148745,-0.037841796875,-0.060455322265625,-0.9869842529296875
0.533719482421875,30.847716103283847,6.637084781137681,1.1922302236366473,-0.0344696044921875,-0.0580291748046875,-0.9697113037109375
